airline_name,airline_id
AIR BALTIC,1
WIZZ AIR,2
LOGANAIR LTD,3
EASTERN AIRWAYS,4
EASYJET UK LTD,5
BRITISH AIRWAYS PLC,6
SAS,7
AIR HAMBURG,8
TUI AIRWAYS LTD,9
AER LINGUS,10
KLM,11
KLM CITYHOPPER,12
WIDEROE FLYVESELSKAP A/S,13
RYANAIR,14
EMERALD AIRLINES UK LTD,15
FLYBE LTD,16
LONDON EXECUTIVE AVIATION LTD,17
PEN-AVIA LTD,18
EMERALD AIRLINES (IRELAND) LIMITED,19
AURIGNY AIR SERVICES,20
BLUE ISLANDS LIMITED,21
BA CITYFLYER LTD,22
NETJETS TRANSPORTES AEREOS,23
FLYING GROUP,24
LUFTHANSA,25
CHARTRIGHT AIR INC,26
BH AIR,27
JET2.COM LTD,28
RYANAIR UK LTD,29
AUSTRIAN AIRLINES,30
SUN AIR OF SCANDINAVIA,31
ALBA STAR,32
TRAVEL SERVICE KFT,33
EASYJET EUROPE,34
VALLJET,35
AVCON JET AG,36
ENTER AIR,37
FREEBIRD AIRLINES,38
AIRTANKER SERVICES LTD,39
SUNWING AIRLINES INC,40
AIR ONE,41
EUROATLANTIC AIRWAYS,42
EUROWINGS LUFTVERKEHRS,43
AIR INDIA,44
JORDAN AVIATION,45
EMIRATES,46
STOBART AIR,47
BRUSSELS AIRLINES,48
TITAN AIRWAYS LTD,49
AIR ALSIE,50
SMARTWINGS,51
EUROPE AIRPOST,52
AIR FRANCE,53
VUELING AIRLINES,54
CARPATAIR,55
EASYJET SWITZERLAND,56
SWISS AIRLINES,57
CORENDON AIRLINES,58
SUNEXPRESS,59
THY TURKISH AIRLINES,60
CARGOJET AIRWAYS,61
GAMA AVIATION (UK) LTD,62
BRISTOW HELICOPTERS LTD,63
MALETH AERO,64
AEGEAN AIRLINES,65
ATLANTIC AIRWAYS,66
WIZZ AIR UK LTD,67
NEOS SPA,68
AIR HORIZONT,69
VISTAJET LTD MALTA,70
AIR X CHARTER,71
WEST JET AIRLINES,72
AIR CANADA,73
QATAR AIRWAYS,74
DELTA AIRLINES,75
UNITED AIRLINES,76
VIRGIN ATLANTIC AIRWAYS LTD,77
NORWEGIAN AIR INTERNATIONAL,78
FINNAIR,79
TRANSAVIA FRANCE,80
TRANSAVIA,81
FLYR,82
NORWEGIAN AIR SHUTTLE,83
EVELOP,84
EDELWEISS AIR,85
ISLES OF SCILLY SKYBUS,86
AIR TRANSAT,87
