reporting_period,period_date,date_id
202305,2023-05-01,1
202307,2023-07-01,2
202402,2024-02-01,3
202408,2024-08-01,4
202310,2023-10-01,5
202306,2023-06-01,6
202309,2023-09-01,7
202412,2024-12-01,8
202404,2024-04-01,9
202301,2023-01-01,10
202303,2023-03-01,11
202411,2024-11-01,12
202401,2024-01-01,13
202403,2024-03-01,14
202311,2023-11-01,15
202405,2024-05-01,16
202407,2024-07-01,17
202302,2023-02-01,18
202308,2023-08-01,19
202410,2024-10-01,20
202406,2024-06-01,21
202312,2023-12-01,22
202409,2024-09-01,23
202304,2023-04-01,24
