origin_destination,origin_destination_country,route_id
RIGA,LATVIA,1
GDANSK,POLAND,2
BELFAST CITY (GEORGE BEST),UNITED KINGDOM,3
BIRMINGHAM,UNITED KINGDOM,4
BRISTOL,UNITED KINGDOM,5
EDINBURGH,UNITED KINGDOM,6
EXETER,UNITED KINGDOM,7
GLASGOW,UNITED KINGDOM,8
HUMBERSIDE,UNITED KINGDOM,9
KIRKWALL,UNITED KINGDOM,10
GATWICK,UNITED KINGDOM,11
HEATHROW,UNITED KINGDOM,12
LUTON,UNITED KINGDOM,13
MANCHESTER,UNITED KINGDOM,14
NEWCASTLE,UNITED KINGDOM,15
NEWQUAY,UNITED KINGDOM,16
NORWICH,UNITED KINGDOM,17
SUMBURGH,UNITED KINGDOM,18
SOUTHAMPTON,UNITED KINGDOM,19
TEESSIDE INTERNATIONAL AIRPORT,UNITED KINGDOM,20
WICK JOHN O GROATS,UNITED KINGDOM,21
LIEGE,BELGIUM,22
COPENHAGEN,DENMARK,23
ESBJERG,DENMARK,24
VAGAR,FAROE ISLANDS,25
CORFU,GREECE,26
RHODES,GREECE,27
DUBLIN,IRISH REPUBLIC,28
AMSTERDAM,NETHERLANDS,29
BERGEN,NORWAY,30
OSLO (GARDERMOEN),NORWAY,31
STAVANGER,NORWAY,32
FARO,PORTUGAL(EXCLUDING MADEIRA),33
ALICANTE,SPAIN,34
MALAGA,SPAIN,35
PALMA DE MALLORCA,SPAIN,36
REUS,SPAIN,37
TENERIFE (SURREINA SOFIA),SPAIN(CANARY ISLANDS),38
DALAMAN,TURKEY,39
ABERDEEN,UNITED KINGDOM,40
BRIZE NORTON,UNITED KINGDOM,41
CARDIFF WALES,UNITED KINGDOM,42
DUNDEE,UNITED KINGDOM,43
EAST MIDLANDS INTERNATIONAL,UNITED KINGDOM,44
FARNBOROUGH,UNITED KINGDOM,45
PRESTWICK,UNITED KINGDOM,46
GUERNSEY,UNITED KINGDOM,47
INVERNESS,UNITED KINGDOM,48
ISLE OF MAN,UNITED KINGDOM,49
JERSEY,UNITED KINGDOM,50
LEEDS BRADFORD,UNITED KINGDOM,51
LIVERPOOL (JOHN LENNON),UNITED KINGDOM,52
LONDON CITY,UNITED KINGDOM,53
NORTHOLT,UNITED KINGDOM,54
LARNACA,CYPRUS,55
CANNES,FRANCE,56
FRANKFURT MAIN,GERMANY,57
BOLOGNA,ITALY,58
TORONTO,CANADA,59
BURGAS,BULGARIA,60
BUDAPEST,HUNGARY,61
VILNIUS,LITHUANIA,62
KRAKOW,POLAND,63
STANSTED,UNITED KINGDOM,64
VIENNA,AUSTRIA,65
CHARLEROI,BELGIUM,66
DUBROVNIK,CROATIA,67
PAPHOS,CYPRUS,68
BILLUND,DENMARK,69
TARBES-LOURDES INTERNATIONAL,FRANCE,70
NICE,FRANCE,71
BEAUVAIS,FRANCE,72
PARIS (CHARLES DE GAULLE),FRANCE,73
HERAKLION,GREECE,74
KOS,GREECE,75
ZAKINTHOS,GREECE,76
BERGAMO,ITALY,77
VENICE,ITALY,78
VERONA VILLAFRANCA,ITALY,79
LISBON,PORTUGAL(EXCLUDING MADEIRA),80
BARCELONA,SPAIN,81
GIRONA,SPAIN,82
IBIZA,SPAIN,83
LEON,SPAIN,84
MAHON,SPAIN,85
VALENCIA,SPAIN,86
VALLADOLID,SPAIN,87
ARRECIFE,SPAIN(CANARY ISLANDS),88
FUERTEVENTURA,SPAIN(CANARY ISLANDS),89
LAS PALMAS,SPAIN(CANARY ISLANDS),90
GENEVA,SWITZERLAND,91
ANTALYA,TURKEY,92
BOA VISTA (RABIL),CAPE VERDE ISLANDS,93
ILHA DO SAL C.VERDE,CAPE VERDE ISLANDS,94
CALGARY,CANADA,95
BRIDGETOWN,BARBADOS,96
