date_id,airport_id,airline_id,route_id,flight_type_id,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_unmatched_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
14,1,2,2,1,18,0,0,5.555556,44.444444,27.777778,16.666667,5.555556,0.0,0.0,0.0,0.0,0.0,0.0,8.666667,18,72.222222,7.277778
14,1,3,3,1,36,0,0,38.888889,47.222222,5.555556,2.777778,0.0,5.555556,0.0,0.0,0.0,0.0,0.0,4.527778,45,69.565217,23.933333
14,1,3,4,1,152,0,3,3.225806,47.096774,28.387097,7.741935,4.516129,4.516129,1.935484,0.645161,0.0,0.0,1.935484,14.019737,150,55.279503,40.826667
14,1,3,5,1,42,0,2,29.545455,47.727273,9.090909,4.545455,2.272727,0.0,2.272727,0.0,0.0,0.0,4.545455,6.619048,52,70.37037,18.153846
14,1,4,44,1,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0,0.0,0.0
14,1,3,8,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,8.0
14,1,4,9,1,68,0,1,5.797101,50.724638,33.333333,4.347826,1.449275,2.898551,0.0,0.0,0.0,0.0,1.449275,5.617647,62,70.666667,13.725806
14,1,3,10,1,62,0,0,11.290323,14.516129,25.806452,20.967742,11.290323,1.612903,8.064516,6.451613,0.0,0.0,0.0,37.629032,150,72.903226,18.8
14,1,6,52,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0
14,1,5,11,1,123,0,2,6.4,48.8,24.0,8.0,3.2,7.2,0.0,0.8,0.0,0.0,1.6,13.520325,122,75.0,11.696721
14,1,6,12,1,387,0,5,7.142857,47.193878,23.469388,10.204082,6.122449,2.55102,1.020408,1.020408,0.0,0.0,1.27551,11.70801,359,50.127877,21.924791
14,1,3,12,1,2,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0,0.0,0.0
14,1,5,13,1,34,0,2,2.777778,50.0,19.444444,13.888889,5.555556,0.0,2.777778,0.0,0.0,0.0,5.555556,11.235294,52,66.666667,19.730769
14,1,9,13,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,50.0,12.0
14,1,3,14,1,141,0,1,9.859155,49.295775,26.056338,6.338028,4.929577,2.816901,0.0,0.0,0.0,0.0,0.704225,6.687943,135,65.217391,25.592593
14,1,4,15,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,61.666667,14.813953
14,1,3,15,1,39,0,3,21.428571,38.095238,21.428571,2.380952,0.0,2.380952,7.142857,0.0,0.0,0.0,7.142857,16.512821,21,77.272727,19.380952
14,1,3,16,1,28,0,0,10.714286,32.142857,39.285714,14.285714,0.0,3.571429,0.0,0.0,0.0,0.0,0.0,7.0,37,83.783784,19.324324
14,1,3,17,1,91,0,3,27.659574,42.553191,17.021277,5.319149,4.255319,0.0,0.0,0.0,0.0,0.0,3.191489,3.318681,96,71.287129,21.3125
14,1,3,18,1,109,0,2,6.306306,21.621622,36.036036,5.405405,12.612613,1.801802,12.612613,1.801802,0.0,0.0,1.801802,34.733945,149,46.296296,37.328859
14,1,3,19,1,33,0,1,20.588235,52.941176,5.882353,2.941176,8.823529,2.941176,2.941176,0.0,0.0,0.0,2.941176,12.454545,0,0.0,0.0
14,1,3,20,1,40,0,2,23.809524,35.714286,23.809524,7.142857,0.0,0.0,4.761905,0.0,0.0,0.0,4.761905,9.05,81,87.804878,10.691358
14,1,4,21,1,86,0,14,11.0,30.0,30.0,8.0,2.0,5.0,0.0,0.0,0.0,0.0,14.0,9.77907,98,72.072072,17.704082
14,1,7,23,1,2,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,62.5,13.375
14,1,3,24,1,28,0,0,7.142857,28.571429,28.571429,7.142857,10.714286,10.714286,0.0,7.142857,0.0,0.0,0.0,30.857143,30,73.333333,14.8
14,1,2,214,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,50.0,12.0
