date_id,airport_id,airline_id,route_id,flight_type_id,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_unmatched_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
16,1,2,2,1,18,0,0,27.777778,33.333333,27.777778,0.0,0.0,5.555556,5.555556,0.0,0.0,0.0,0.0,15.833333,18,83.333333,5.777778
16,1,3,3,1,62,0,0,14.516129,53.225806,16.129032,3.225806,4.83871,4.83871,3.225806,0.0,0.0,0.0,0.0,12.822581,51,76.923077,24.705882
16,1,3,4,1,158,0,0,8.860759,54.43038,23.417722,6.962025,3.797468,2.531646,0.0,0.0,0.0,0.0,0.0,6.64557,134,69.71831,16.425373
16,1,3,5,1,54,0,0,27.777778,35.185185,25.925926,7.407407,0.0,3.703704,0.0,0.0,0.0,0.0,0.0,6.240741,51,77.777778,10.862745
16,1,3,43,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
16,1,3,6,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,63.0
16,1,3,8,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,124.0
16,1,4,9,1,58,0,32,0.0,22.222222,22.222222,5.555556,3.333333,5.555556,4.444444,1.111111,0.0,0.0,35.555556,26.87931,58,54.43038,18.775862
16,1,3,10,2,1,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0,0.0,0.0
16,1,3,10,1,124,0,4,7.8125,39.0625,28.125,7.03125,10.15625,2.34375,2.34375,0.0,0.0,0.0,3.125,13.024194,152,68.125,19.776316
16,1,5,11,1,124,0,0,7.258065,54.032258,29.032258,4.032258,4.032258,0.806452,0.806452,0.0,0.0,0.0,0.0,5.975806,120,76.190476,10.45
16,1,6,12,1,394,0,8,3.9801,37.562189,26.865672,14.925373,9.452736,4.975124,0.248756,0.0,0.0,0.0,1.99005,13.705584,308,65.123457,19.548701
16,1,5,13,1,64,0,4,5.882353,36.764706,20.588235,13.235294,14.705882,0.0,2.941176,0.0,0.0,0.0,5.882353,13.546875,58,53.968254,23.258621
16,1,3,14,1,161,0,0,13.043478,45.962733,27.329193,5.590062,3.726708,3.726708,0.0,0.621118,0.0,0.0,0.0,8.751553,171,66.666667,21.099415
16,1,4,15,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,63.043478,20.25
16,1,3,15,1,10,0,1,18.181818,27.272727,36.363636,0.0,0.0,9.090909,0.0,0.0,0.0,0.0,9.090909,14.2,87,79.775281,16.505747
16,1,3,16,1,36,0,0,11.111111,38.888889,30.555556,11.111111,5.555556,2.777778,0.0,0.0,0.0,0.0,0.0,7.888889,15,68.75,15.133333
16,1,3,17,1,96,0,0,19.791667,41.666667,22.916667,5.208333,4.166667,6.25,0.0,0.0,0.0,0.0,0.0,8.885417,91,79.787234,9.340659
16,1,3,18,1,148,0,26,2.298851,25.862069,29.310345,12.068966,8.62069,5.172414,1.724138,0.0,0.0,0.0,14.942529,16.878378,169,55.135135,32.325444
16,1,3,19,1,3,0,2,0.0,40.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,40.0,25.0,2,50.0,14.0
16,1,4,20,1,21,0,0,0.0,52.380952,33.333333,0.0,9.52381,4.761905,0.0,0.0,0.0,0.0,0.0,10.952381,0,0.0,0.0
16,1,3,20,1,14,0,0,7.142857,78.571429,0.0,14.285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.285714,49,64.814815,24.489796
